OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03051420120815SRW,Sample-Routine,Water,,2012-05-14,08:15:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,0.17,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03080620120835SRW,Sample-Routine,Water,,2012-08-06,08:35:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,2.45,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03091720120800SRW,Sample-Routine,Water,,2012-09-17,08:00:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,0.38,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03050720120815SRW,Sample-Routine,Water,,2012-05-07,08:15:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03061120120815SRW,Sample-Routine,Water,,2012-06-11,08:15:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03082720120830SRW,Sample-Routine,Water,,2012-08-27,08:30:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,0.74,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03081320120822SRW,Sample-Routine,Water,,2012-08-13,08:22:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,5.18,ug/l,,Final,,Actual,,,,,,Sample diluted for analysis.,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03060420120810SRW,Sample-Routine,Water,,2012-06-04,08:10:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03061820120825SRW,Sample-Routine,Water,,2012-06-18,08:25:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,0.16,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03052120120815SRW,Sample-Routine,Water,,2012-05-21,08:15:00,CDT,,,,0.0,m,,,,,,PBMP,,21NEB001_WQX-LMT1CARTER03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
