OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB1BIGIND04,Big Indian Lake (11A) -- Swimming Beach -- Site 04,Lake,,10270202,,,,,40.05904,-96.695423,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,067,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB1CUBCRK04,Cub Creek Lake -- Swimming Beach -- Site 04,Lake,,10270202,,,,,40.24448,-97.049548,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,095,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB1ROCKFD04,Rockford Lake (SRA) -- Southwest Beach -- Site 04,Lake,,10270202,,,,,40.223,-96.585397,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,067,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB2SWNCRK04,Swan Creek Lake (5A) -- Swimming Beach -- Site 04,Lake,,10270204,,,,,40.45538,-97.26406,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,151,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LEL1DTIMBR03,Dead Timber Lake (SRA) -- Site 03,Lake,,10220003,,,,,41.716572,-96.689601,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,053,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LEL1MASKEN06,Maskenthine Reservoir -- Swimming Beach -- Site 06,Lake,,10220003,,,,,41.97731,-97.23633,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,167,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LEL1MPLECK03,Maple Creek Recreation Area Lake -- East Beach -- Site 03,Lake,,10220003,,,,,41.71017,-97.25078,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,037,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LEL3WILWCK03,Willow Creek Reservoir -- Swimming Beach -- Site 03,Lake,,10220002,,,,,42.17573,-97.57013,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,139,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLB1LONEST04,Lone Star Reservoir -- West Beach -- Site 04,Lake,,10270207,,,,,40.41478,-97.38032,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,059,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLO2CALMUS04,Calamus Reservoir -- Homestead Swimming Beach -- Site 04,Lake,,10210008,,,,,41.844409,-99.216138,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,071,,,,,,,,,STORET
