station.number,lake.name,lake,sample.date.time,sample.date,sampler,mic.con
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2005-03-06,2006-05-03,NDEQ,18.45
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2005-08-06,2006-05-08,NDEQ,>30.00
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,05-15-06,2006-05-15,NDEQ,23.98
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,05-22-06,2006-05-22,NDEQ,29.26
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,05-30-06,2006-05-30,NDEQ,24.64
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2006-05-06,2006-06-05,NDEQ,15.18
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2006-12-06,2006-06-12,NDEQ,18.59
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,06-19-06,2006-06-19,NDEQ,16.72
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,06-26-06,2006-06-26,NDEQ,11.11
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2007-03-06,2006-07-03,NDEQ,9.02
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2007-10-06,2006-07-10,NDEQ,18.04
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,07-17-06,2006-07-17,NDEQ,10.89
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,07-24-06,2006-07-24,NDEQ,4.95
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,07-31-06,2006-07-31,NDEQ,5.94
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2008-07-06,2006-08-07,NDEQ,4.9
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,08-14-06,2006-08-14,NDEQ,4.33
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,08-21-06,2006-08-21,NDEQ,0.66
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,08-28-06,2006-08-28,NDEQ,2.79
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2009-05-06,2006-09-05,NDEQ,3.76
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,2009-11-06,2006-09-11,NDEQ,4.04
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,09-18-06,2006-09-18,NDEQ,3.59
LMT1CARTER03,Carter Lake at North Boat Ramp,CARTER,09-25-06,2006-09-25,NDEQ,6.55
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2005-04-06,2006-05-04,NDEQ,0.15
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2005-08-06,2006-05-08,NDEQ,0.44
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,05-15-06,2006-05-15,NDEQ,0.71
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,05-22-06,2006-05-22,NDEQ,0.58
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,05-30-06,2006-05-30,NDEQ,3.55
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2006-05-06,2006-06-05,NDEQ,3.87
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2006-12-06,2006-06-12,NDEQ,0.47
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,06-19-06,2006-06-19,NDEQ,3.57
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,06-26-06,2006-06-26,NDEQ,5.5
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2007-03-06,2006-07-03,NDEQ,11.22
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2007-10-06,2006-07-10,NDEQ,0.99
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,07-17-06,2006-07-17,NDEQ,28.16
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,07-24-06,2006-07-24,NDEQ,27.61
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,07-31-06,2006-07-31,NDEQ,18.84
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2008-07-06,2006-08-07,NDEQ,1.87
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,08-14-06,2006-08-14,NDEQ,2.2
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,08-21-06,2006-08-21,NDEQ,>55.00
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,08-29-06,2006-08-29,NDEQ,31.57
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2009-05-06,2006-09-05,NDEQ,26.51
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,2009-11-06,2006-09-11,NDEQ,9.46
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,09-18-06,2006-09-18,NDEQ,>55.00
LLP2PAWNEE03,Pawnee Reservoir at East Beach,PAWNEE EAST,09-25-06,2006-09-25,NDEQ,>55.00
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,2005-04-06,2006-05-04,NDEQ,0.16
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,2005-08-06,2006-05-08,NDEQ,0.56
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,05-15-06,2006-05-15,NDEQ,0.57
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,05-22-06,2006-05-22,NDEQ,0.42
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,05-30-06,2006-05-30,NDEQ,20.24
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,2006-05-06,2006-06-05,NDEQ,5.61
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,2006-12-06,2006-06-12,NDEQ,1.82
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,06-19-06,2006-06-19,NDEQ,5.01
LLP2PAWNEE05,Pawnee Reservoir at West Beach,PAWNEE WEST,06-26-06,2006-06-26,NDEQ,2.19
