OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Carbon dioxide,Total,24,mg/l,,Accepted,,Actual,,,,,,,00405,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Appendix",,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Hydrogen ion,Total,0.00008,mg/l,,Accepted,,Actual,,,,,,,00191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Appendix",,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.206,mg/l NH4,,Historical,,Actual,,,,,,,71846,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Appendix",,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Silica,Dissolved,0.600,mg/l,,Accepted,,Actual,,,,,,,00955,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Boron,Dissolved,40,ug/l,,Historical,,Actual,,,,,,,01020,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Copper,Dissolved,0.0,ug/l,,Historical,,Actual,,,,,,,01040,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Iron,Recoverable,50,ug/l,,Historical,,Actual,,,,,,,01045,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Manganese,Recoverable,10,ug/l,,Historical,,Actual,,,,,,,01055,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Strontium,Dissolved,440,ug/l,,Historical,,Actual,,,,,,,01080,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Zinc,Dissolved,100,ug/l,,Historical,,Actual,,,,,,,01090,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Aluminum,Recoverable,200,ug/l,,Historical,,Actual,,,,,,,01105,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Lithium,Dissolved,0.0,ug/l,,Historical,,Actual,,,,,,,01130,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total dissolved solids,Dissolved,201,mg/l,,Accepted,,Actual,,,180 deg C,,,,70300,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total dissolved solids,Dissolved,181,mg/l,,Historical,,Actual,,,,,,,70301,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total dissolved solids,Dissolved,0.27,tons/ac ft,,Historical,,Actual,,,,,,,70303,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrate,Dissolved,0.000,mg/l,,Historical,,Actual,,,,,,,71851,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Nitrite,Dissolved,0.030,mg/l,,Historical,,Actual,,,,,,,71856,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Temperature, water",,9.0,deg C,,Historical,,Actual,,,,,,,00010,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Color,Dissolved,4,PCU,,Historical,,Actual,,,,,,,00080,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Specific conductance,Total,332,uS/cm @25C,,Accepted,,Actual,,,25 deg C,,,,00095,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,7.1,std units,,Accepted,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Alkalinity,Total,152,mg/l CaCO3,,Accepted,,Actual,,,,,,,00410,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Bicarbonate,Total,185,mg/l,,Accepted,,Actual,,,,,,,00440,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Carbonate (CO3),Total,0.0,mg/l,,Accepted,,Actual,,,,,,,00445,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Organic nitrogen,Total,0.72,mg/l,,Historical,,Actual,,,,,,,00605,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Ammonia and ammonium,Dissolved,0.160,mg/l as N,,Historical,,Actual,,,,,,,00608,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphate-phosphorus,Total,0.330,mg/l,,Historical,,Actual,,,,,,,00650,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphate,Dissolved,0.100,mg/l,,Historical,,Actual,,,,,,,00660,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Total hardness -- SDWA NPDWR,,140,mg/l CaCO3,,Historical,,Actual,,,,,,,00900,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Hardness, non-carbonate",Total,0.0,mg/l CaCO3,,Historical,,Actual,,,,,,,00902,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Calcium,Dissolved,39.0,mg/l,,Accepted,,Actual,,,,,,,00915,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Magnesium,Dissolved,11.0,mg/l,,Accepted,,Actual,,,,,,,00925,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Sodium,Dissolved,9.50,mg/l,,Accepted,,Actual,,,,,,,00930,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Sodium adsorption ratio,,0.3,None,,Historical,,Actual,,,,,,,00931,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,"Sodium, percent total cations",,12,%,,Historical,,Actual,,,,,,,00932,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Potassium,Dissolved,11.0,mg/l,,Accepted,,Actual,,,,,,,00935,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,3.0,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Sulfate,Dissolved,13.0,mg/l,,Accepted,,Actual,,,,,,,00945,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800411,Sample-Routine,Water,Surface Water,1967-11-17,16:15:00,CST,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fluoride,Dissolved,0.40,mg/l,,Accepted,,Actual,,,,,,,00950,,,,,,,,,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,nwisne.01.96800412,Sample-Routine,Water,Surface Water,1968-07-18,12:00:00,CDT,,,,,,,,,,,,,USGS-06803130,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Iron,Recoverable,70,ug/l,,Historical,,Actual,,,,,,,01045,,,,,,,,,,,,,,,,,NWIS
