OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NE,USGS Nebraska Water Science Center,USGS-06803128,"MIDDLE CREEK NEAR MALCOLM, NEBR.",Stream,,10200203,,,,,40.8697275,-96.9097465,,5,seconds,Interpolated from map,NAD83,,,,,,,US,31,109,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-06803130,"PAWNEE LAKE NEAR EMERALD, NEBR.","Lake, Reservoir, Impoundment",,10200203,,,,,40.8369487,-96.868634,,5,seconds,Interpolated from map,NAD83,,,,,,,US,31,109,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-06803132,"PAWNEE LAKE OUTFLOW NR EMERALD, NE",Stream,,10200203,35.9,sq mi,,,40.8388931,-96.8653005,,5,seconds,Interpolated from map,NAD83,,,,,,,US,31,109,,,,,,,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-405026096520601,10N  5E16BB  1,Well,,10200203,,,,,40.8405599,-96.868634,,5,seconds,Interpolated from map,NAD83,,,,,,,US,31,109,Alluvial aquifers,Holocene Alluvium,,,36,ft,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-405029096521201,10N  5E16BB  2,Well,,,,,,,40.8413932,-96.8703007,24000,5,seconds,Interpolated from map,NAD83,1340,feet,10,feet,Interpolated from topographic map,NGVD29,US,31,109,,,,,36,ft,36,ft,NWIS
1117MBR,US EPA Region 7,1117MBR-007733,PAWNEE LAKE,Lake,"PAWNEE LAKE NEAR THE DAM.  NW1/4,SEC.16,T.10N.,R.5E.                    ¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 13-DEC-99¶MAJOR BASIN NAME: MISSOURI RIVER          ¶BASIN CODE: 090800¶MINOR BASIN NAME: LOWER PLATTE R. FROM NORTH PLATTE.",10200203,,,,,40.8402778,-96.8666667,,,,Unknown,UNKWN,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE00,Pawnee Lake -- Dam -- Site 00,Lake,,10200203,,,,,40.841196,-96.864057,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE01,Pawnee Lake -- Deep Water -- Site 01,Lake,,10200203,,,,,40.842496,-96.8695,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE03,Pawnee Lake -- East Beach -- Site 03,Lake,,10200203,,,,,40.847311,-96.870994,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE04,Pawnee Lake -- Near Outlet Structure -- Site 04,Lake,,10200203,,,,,40.839119,-96.86605,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
