Lab_ID_String,Sample_ID,lake,Collection_Date,Anatoxin A,Cylindrospermopsin,Microcystin LA,Microcystin LF,Microcystin LR,Microcystin LW,Microcystin RR,Saxitoxin,Batch,Analysis Date,%Imidazolidine
22-Jul,A2,A2,2006-10-01,,,,,,,,,W07003,2007-02-12 0:00,
23-Jul,A2 LFM,A2 LFM,2006-10-01,,,106.7,29.3,158.4,176.8,35.4,,W07003,2007-02-12 0:00,
21-Jul,A4,A4,2006-10-01,,,,,,,,,W07003,2007-02-12 0:00,
07-1883,CARTER  LFM,CARTER,2007-08-21,59.3,,76.9,23.8,98.7,58.8,102.8,169.2,W07171,2008-03-06 0:00,81.91455
08-1112,CARTER BOAT DOCK 06-10,CARTER,2008-06-10,,,,,,,,,W08102,2009-01-09 0:00,55.106
08-1113,CARTER BOAT DOCK 06-17,CARTER,2008-06-17,,,0,,,,,,W08102,2009-01-09 0:00,40.354
08-1147,CARTER BOAT DOCK 06-23,CARTER,2008-06-23,,,,,,,,,W08102,2009-01-09 0:00,39.404
08-1190,CARTER BOAT DOCK 07-01,CARTER,2008-07-01,1.6,5.1,9.1,12,6.9,10.5,8.9,,W08102,2009-01-09 0:00,33.104
08-1270,CARTER BOAT DOCK 07-07,CARTER,2008-07-07,,,,,,,,,W08123,2009-01-09 0:00,41.2
08-1323,CARTER BOAT DOCK 07-14,CARTER,2008-07-14,,,,,,,,,W08123,2009-01-09 0:00,
08-1349,CARTER BOAT DOCK 07-15,CARTER,2008-07-15,,,,,,,,,W08123,2009-01-09 0:00,24.04
08-1379,CARTER BOAT DOCK 07-28,CARTER,2008-07-28,,,,,,,,,W08143,2009-01-09 0:00,22.994
08-1432,CARTER BOAT DOCK 07-30,CARTER,2008-07-30,,,,,,,,,W08143,2009-01-09 0:00,62.714
08-1437,CARTER BOAT DOCK 08-07,CARTER,2008-08-07,,,,,,,,,W08143,2009-01-09 0:00,19.794
08-1490,CARTER BOAT DOCK 08-12,CARTER,2008-08-12,,,,,,,,,W08143,2009-01-09 0:00,36.742
08-1595,CARTER BOAT DOCK 08-20,CARTER,2008-08-20,,,,,,,,,W08156,2009-01-09 0:00,38.822
08-1600,CARTER BOAT DOCK 08-26,CARTER,2008-08-26,,,,,,,,,W08156,2009-01-09 0:00,36.03
08-1605,CARTER BOAT DOCK 09-02,CARTER,2008-09-02,,,,,,,,,W08156,2009-01-09 0:00,28.918
08-1633,CARTER BOAT DOCK 09-10,CARTER,2008-09-10,,,,,,,,,W08175,2009-01-09 0:00,18.868
08-1634,CARTER BOAT DOCK 09-10 LFM,CARTER,2008-09-10,1.5,1.8,7.6,10,6.5,9,8,,W08175,2009-01-09 0:00,23.048
